id,name,lga_id,status,created_at,updated_at,deleted_at
317,MINKISI/ WURO NGIKI,30,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
318,MODA / DLAKA / GHENJUWA,30,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
319,MUNKAVICITA,30,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
320,SINA / KAMALE / KWANDE,30,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
321,THUKUDOU / SUFUKU / ZAH,30,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
322,SUKUMU / TILLIJO,30,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
323,TUMBARA / NGABILI,30,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
324,VI / BOKA,30,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
325,WAMBLIMI / TILLI,30,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
326,BAHULI,31,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
327,BETSO,31,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
328,DIGIL,31,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
329,KOLERE,31,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
330,LOKUWA,31,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
331,MAYO BANI,31,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
332,MIJILU,31,1,2024-03-14 11:03:59,2024-03-14 11:03:59,
